,布偶猫,加菲猫,金渐层,英短蓝猫,英短蓝白,英国短毛猫,美国短毛猫,苏格兰折耳猫,银渐层,异国短毛猫,孟买猫,暹罗猫,孟加拉豹猫,缅因猫,金吉拉猫,无毛猫,高地折耳猫,曼基康矮脚猫,波斯猫,橘猫,阿比西尼亚猫
布偶猫,0.0,800.0,768.0,809.0,794.0,815.0,899.0,830.0,802.0,815.0,782.0,907.0,829.0,863.0,805.0,921.0,737.0,725.0,992.0,713.0,807.0
加菲猫,800.0,0.0,669.0,732.0,695.0,729.0,866.0,757.0,728.0,313.0,676.0,856.0,743.0,817.0,734.0,840.0,663.0,655.0,925.0,622.0,717.0
金渐层,768.0,669.0,0.0,610.0,557.0,598.0,823.0,695.0,609.0,673.0,606.0,811.0,708.0,734.0,704.0,781.0,534.0,572.0,909.0,522.0,611.0
英短蓝猫,809.0,732.0,610.0,0.0,618.0,611.0,854.0,778.0,695.0,730.0,699.0,881.0,751.0,806.0,768.0,871.0,652.0,658.0,949.0,635.0,706.0
英短蓝白,794.0,695.0,557.0,618.0,0.0,250.0,835.0,745.0,652.0,729.0,662.0,859.0,763.0,790.0,756.0,810.0,641.0,628.0,932.0,606.0,670.0
英国短毛猫,815.0,729.0,598.0,611.0,250.0,0.0,857.0,753.0,687.0,746.0,681.0,876.0,777.0,785.0,754.0,821.0,673.0,664.0,936.0,638.0,699.0
美国短毛猫,899.0,866.0,823.0,854.0,835.0,857.0,0.0,873.0,871.0,853.0,850.0,935.0,887.0,933.0,850.0,940.0,819.0,821.0,993.0,797.0,851.0
苏格兰折耳猫,830.0,757.0,695.0,778.0,745.0,753.0,873.0,0.0,752.0,755.0,702.0,839.0,781.0,842.0,752.0,859.0,663.0,687.0,919.0,659.0,749.0
银渐层,802.0,728.0,609.0,695.0,652.0,687.0,871.0,752.0,0.0,718.0,674.0,864.0,754.0,818.0,753.0,846.0,631.0,656.0,959.0,616.0,700.0
异国短毛猫,815.0,313.0,673.0,730.0,729.0,746.0,853.0,755.0,718.0,0.0,691.0,848.0,755.0,827.0,743.0,853.0,662.0,670.0,935.0,638.0,729.0
孟买猫,782.0,676.0,606.0,699.0,662.0,681.0,850.0,702.0,674.0,691.0,0.0,806.0,699.0,756.0,718.0,830.0,583.0,576.0,918.0,535.0,656.0
暹罗猫,907.0,856.0,811.0,881.0,859.0,876.0,935.0,839.0,864.0,848.0,806.0,0.0,856.0,916.0,860.0,945.0,800.0,790.0,1019.0,779.0,837.0
孟加拉豹猫,829.0,743.0,708.0,751.0,763.0,777.0,887.0,781.0,754.0,755.0,699.0,856.0,0.0,829.0,760.0,865.0,673.0,694.0,944.0,661.0,726.0
缅因猫,863.0,817.0,734.0,806.0,790.0,785.0,933.0,842.0,818.0,827.0,756.0,916.0,829.0,0.0,827.0,902.0,745.0,756.0,972.0,727.0,783.0
金吉拉猫,805.0,734.0,704.0,768.0,756.0,754.0,850.0,752.0,753.0,743.0,718.0,860.0,760.0,827.0,0.0,864.0,688.0,688.0,903.0,662.0,758.0
无毛猫,921.0,840.0,781.0,871.0,810.0,821.0,940.0,859.0,846.0,853.0,830.0,945.0,865.0,902.0,864.0,0.0,774.0,806.0,1015.0,775.0,838.0
高地折耳猫,737.0,663.0,534.0,652.0,641.0,673.0,819.0,663.0,631.0,662.0,583.0,800.0,673.0,745.0,688.0,774.0,0.0,517.0,909.0,477.0,609.0
曼基康矮脚猫,725.0,655.0,572.0,658.0,628.0,664.0,821.0,687.0,656.0,670.0,576.0,790.0,694.0,756.0,688.0,806.0,517.0,0.0,899.0,490.0,631.0
波斯猫,992.0,925.0,909.0,949.0,932.0,936.0,993.0,919.0,959.0,935.0,918.0,1019.0,944.0,972.0,903.0,1015.0,909.0,899.0,0.0,889.0,918.0
橘猫,713.0,622.0,522.0,635.0,606.0,638.0,797.0,659.0,616.0,638.0,535.0,779.0,661.0,727.0,662.0,775.0,477.0,490.0,889.0,0.0,586.0
阿比西尼亚猫,807.0,717.0,611.0,706.0,670.0,699.0,851.0,749.0,700.0,729.0,656.0,837.0,726.0,783.0,758.0,838.0,609.0,631.0,918.0,586.0,0.0
